53,ChIJF39aLjRu5kcR2tc2OL9Ok0A,Paris,France,"[food, bakery, cafe, store]"
54,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[food, restaurant]"
55,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[restaurant, food]"
56,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[restaurant, food]"
57,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[restaurant, food]"
58,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[restaurant, food]"
59,ChIJ-eELb-l65kcRfyluPKUXeYs,Hauts-de-Seine,France,"[restaurant, food]"
60,ChIJKXF6Shtu5kcRxSjyoq4jwDY,Paris,France,"[food, cafe]"
61,ChIJJ-P3zT9u5kcRvdSsDKd6Ipc,Paris,Île-de-France,"[Bar, night_club]"
62,ChIJlbWJarjAyRIRbY_QOfEx9k4,Marseille,Provence-Alpes-Côte d'Azur,"[Restaurant, food]"
63,ChIJd87NGr2NyRIRowkkllAAIv8,Bouches-du-Rhône,France,"[Restaurant, food]"
64,ChIJ4f7h_mhu5kcRtb3IkgcT7pU,Paris,France,"[Restaurant, food]"
65,ChIJL4T0jLrAyRIR4cfrWROKp8M,Bouches-du-Rhône,France,"[Restaurant, food]"
66,ChIJ4xBDhAqs9UcRJqWAQWXvhAE,Loire,France,"[spa, beauty_salon]"
67,ChIJyUuaVrrAyRIRUOOP1mTDjRg,Bouches-du-Rhône,France,"[food, Restaurant]"
68,ChIJ4yCx4wZy5kcRiTeFA7n5mJQ,Paris,France,[Bar]
69,ChIJ4yCx4wZy5kcRiTeFA7n5mJQ,Paris,France,[bar]
70,ChIJbSDXGjejKogRWlNLqAAPLh0,CA,,"[political, locality]"
71,ChIJq8tRGzpu5kcRDnSYNiUOdR4,Paris,France,"[restaurant, food]"
72,ChIJR0VVh0Tq9EcRJveMSkRSB1U,Lyon,Rhône-Alpes,"[Restaurant, food, Bar]"
73,ChIJL706IJe8rhIRGdHyLdIkbIw,Languedoc-Roussillon Midi-Pyrénées,31000,[]
74,ChIJA_GsK4p65kcRGb3KaG-O-Ok,Hauts-de-Seine,France,"[Restaurant, food]"
75,ChIJA_GsK4p65kcRGb3KaG-O-Ok,Hauts-de-Seine,France,"[Restaurant, food]"
76,ChIJsUovRQZu5kcR4aclHuNb00A,3rd arrondissement,Paris,"[meal_delivery, meal_takeaway, Restaurant, food]"
77,ChIJ13aJUMxx5kcR6dnOzdY-uZE,Paris,France,"[pharmacy, store, health]"
78,ChIJTd9OBrNv5kcRr7XLfzJ9M78,Paris,Île-de-France,"[meal_delivery, food, Restaurant, meal_takeaway]"
79,ChIJuQ2aeaDazRIR-R434mYVWZY,FR,,"[night_club, store, Bar, food, museum, Restaurant]"
80,ChIJX6dEGt5x5kcRvN7WYlpudKU,Paris,France,"[food, store, cafe]"
81,ChIJizKch_xx5kcRtvvAqq_HAuA,Paris,France,"[restaurant, food]"
82,ChIJb5OSdsNv5kcRMlw5Ooto9zo,Paris,France,[night_club]
83,ChIJv-_lZx3r9EcRcXphNXP14SA,Rhône,France,[Bar]
84,ChIJC8c4xbJqkFQRzxkn4pr96xE,Seattle,Washington,"[food, cafe, store]"
85,ChIJzWKpn89x5kcRvyG8Xzrx8uo,Paris,France,"[Restaurant, food]"
86,ChIJS2t0QgFu5kcR92388prakcE,Paris,France,[museum]
87,ChIJA4deFHC7rhIRDtbPJ_bDBYg,Haute-Garonne,France,"[food, Bar]"
88,ChIJmTHlzO7AyRIRGXlQXQ9V5us,Marseille,Provence-Alpes-Côte d'Azur,"[food, Restaurant]"
89,ChIJfyPlW7Fv5kcREJzgSEJO_0M,Paris,Île-de-France,"[restaurant, bar, food]"
90,ChIJ6zWHd6Ft5kcRyZxiqRKDxdk,Île-de-France,75020,"[food, Restaurant]"
91,ChIJJUvyzgBy5kcRtvSiuA5hvpE,Paris,France,[Bar]
92,ChIJJUvyzgBy5kcRtvSiuA5hvpE,Paris,France,[bar]
93,ChIJGQyIX4_VwkcRNROBKjx1AjM,Nord,France,"[food, Restaurant]"
94,ChIJHaFh8YfVwkcRn2B3ss73hBs,Nord,France,[Bar]
95,ChIJ6d8E4mxu5kcRcM9fKPhAh8A,Paris,France,"[Restaurant, food]"
96,ChIJtVoUbPnq9EcRcwrldoRe_aM,Rhône,France,"[night_club, Bar]"
97,ChIJy0NgD0Xq9EcR9GMthDTGWyU,Rhône,France,"[food, Restaurant]"
98,ChIJq1xzdJDVwkcRvnlAG_cWUzM,Nord,France,"[cafe, food]"
99,ChIJZaxP1LBv5kcRQKASCZUfnz8,Paris,France,"[bakery, store, food]"
100,ChIJqXXHv-Bx5kcRecgfcFDPz7c,Paris,France,"[Restaurant, food]"
101,ChIJo8Po_8F4CEgR0ILDISnSzPo,Maine-et-Loire,France,[Bar]
102,ChIJdfabEsfAyRIRcWDDWrn6DzU,1st arrondissement of Marseille,Bouches-du-Rhône,"[Restaurant, food, Bar]"
103,ChIJhYOS0v3q9EcR8PWIo9f5ofc,Rhône,France,"[food, Restaurant]"
104,ChIJF_vM3WPq9EcRIZxb637PpgI,Rhône,France,"[food, Restaurant]"
105,ChIJQ46XIUZu5kcRy4xuGZSwzwo,Paris,France,[Bar]
106,ChIJNfTYn5rVwkcRKX2mVvIcxT0,Nord,France,"[cafe, food, Restaurant, store]"
107,ChIJD1NcznJu5kcRf1NPxKI6CPI,Paris,Île-de-France,"[food, Restaurant]"
108,ChIJd9XPtlbq9EcRn2wA91GAeGg,Rhône,France,"[food, store, cafe]"
109,ChIJUfAR9kCuEmsRkQqfH0f2ZaM,Sydney,Australia,[Bar]
110,ChIJ8xMu2HPq9EcR_ht94WjKZCY,Rhône,France,[Bar]
111,ChIJl_7p8uFv5kcRj5ZGEf31ILM,Paris,Île-de-France,"[restaurant, food]"
112,ChIJbXHjUPk_yxIRBry4NBjp1w4,Hautes-Alpes,France,"[Restaurant, food]"
113,ChIJWRwU93LHyRIRLHL-3mTen-I,Bouches-du-Rhône,France,[Bar]
114,ChIJ_2AxnYfVwkcRd2v-D0zegYg,Lille,Nord-Pas-de-Calais,[Bar]
115,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,FR,,"[locality, political]"
116,ChIJmxsSTFtH4UcRXOIJM2nsdWs,Eure,France,"[Restaurant, food]"
117,ChIJWzc9k39x5kcRXK3TooeyLYE,Val-de-Marne,France,"[food, Restaurant]"
118,ChIJNzRBsE3q9EcRS7TosaLAdOc,Lyon,Rhône-Alpes,"[Restaurant, cafe, food]"
119,ChIJ321Jgz5u5kcRqN76SoQ6Lek,Paris,Île-de-France,"[food, cafe, Restaurant, Bar]"
120,ChIJ9_SKPUvq9EcRsvhxDZsc158,Rhône,France,"[Restaurant, food]"
121,ChIJ61VhejVu5kcRipSXBf-9MUM,Paris,France,"[cafe, store, food]"
122,ChIJvTN8gLjAyRIRQF6UY-654ls,Bouches-du-Rhône,France,"[food, Bar, Restaurant]"
123,ChIJKbarJztw5kcR6Q8QoZdHJtc,Paris,France,"[Bar, Restaurant, food]"
124,ChIJ7R4tgLtZwokRM8thlhlzE2o,Manhattan,New York County,"[cafe, food, store]"
125,ChIJz08xKgJy5kcR0Fcp4yfy1Qc,Paris,Île-de-France,"[food, Restaurant]"
126,ChIJAQAAoVtt5kcRAL4H1Qi3gUA,Île-de-France,93100,"[food, Restaurant]"
127,ChIJpa7qEJiNyRIR9mkof1PN4uU,Bouches-du-Rhône,France,"[meal_takeaway, Restaurant, food]"
128,ChIJuXgDNTxu5kcRGs94Doyw_-w,Paris,France,[Bar]
129,ChIJcTUIvoaVJIgRpYJ7qFJ10Qw,Oakland County,United States,"[food, Restaurant]"
130,ChIJyawk3p1v5kcRtFEZ0HyKFKE,Hauts-de-Seine,France,"[cafe, food]"
131,ChIJZdGK2CRu5kcRVYkhawTz8C0,Paris,Île-de-France,"[Restaurant, food]"
132,ChIJsU30zM1qkFQRbnOm1_LBoG0,Seattle,Washington,"[cafe, food, store]"
133,ChIJqwd1Lt1v5kcRqG8_LF_qfcc,Paris,France,"[Restaurant, food]"
134,ChIJH-rJI5-8rhIRGgM0BSRbtz4,Haute-Garonne,France,"[Restaurant, food]"
135,ChIJ78C8wFzV3EcRWkkRYVqX6cM,Nord-Pas-de-Calais,59160,"[food, Restaurant]"
136,ChIJuyuNXdfAyRIRPFLPP-7QIJs,Bouches-du-Rhône,France,"[Restaurant, food]"
137,ChIJIYY2sFJu5kcRKSGlO3HH_pU,Paris,France,"[Restaurant, food]"
138,ChIJaZVP5gBy5kcRoDKJxbCmbag,Paris,France,"[Bar, cafe, food]"
139,ChIJUy9JFxVu5kcRMW429Dzhb_w,9th arrondissement of Paris,Paris,"[Restaurant, food]"
140,ChIJC0tMA8Zx5kcRT0FUzlguCls,Paris,France,"[Restaurant, food]"
141,ChIJZdyzNHpu5kcRHzDLxzlsfJo,Paris,Île-de-France,"[food, restaurant]"
142,ChIJZdyzNHpu5kcRHzDLxzlsfJo,Paris,Île-de-France,"[food, Restaurant]"
143,ChIJ-Qr6Qxdy5kcRaThUcSf8m5g,Paris,France,[stadium]
144,ChIJMQxZiv7q9EcRS7g4SCMOsKk,1st arrondissement of Lyon,Rhône,"[Bar, cafe, food]"
145,ChIJr5Ks2UVu5kcR9QL45EXSLBE,Paris,France,[bar]
146,ChIJr5Ks2UVu5kcR9QL45EXSLBE,Paris,France,[Bar]
147,ChIJUcDfzFRu5kcRf64XHZwbH64,17th arrondissement,Paris,[bar]
148,ChIJmxVBernAyRIRvwECO4ddzmg,Bouches-du-Rhône,France,"[grocery_or_supermarket, Restaurant, food, store]"
149,ChIJg4octORx5kcRijmhQTSm1Fs,Paris,France,"[Restaurant, food]"
150,ChIJq6B5t99x5kcRRfiVW1Lj98o,Paris,France,"[Restaurant, Bar, food, store]"
151,ChIJecyzPQNu5kcRxpombM1XTy8,Paris,France,[Bar]
152,ChIJKw0NuDRu5kcRft-BgpQ1D90,Paris,France,"[Restaurant, food]"
