,listId,name,description,hashtags,visibility
83,383,Bifh,Fbdib,[[#bejdbsl]],True
84,30,La vré,,[[string]],True
85,362,Bars et cafés Paris,Découvrez ici les lieux les plus populaires de Paris ! Donnez nous votre avis sur les adresses de nos listes pour vous connecter aux autres utilisateurs !,"[[#paris, #Cafés, #Bars]]",True
86,384,la liste du lundi,,[[]],True
87,62,terrasses,il suffit parfois ….,[],True
88,40,terrasses,il suffit parfois ….,[],True
89,404,test3,,[[]],True
90,84,Où manger des crêpes à Marseille ?,"On est d'accord, traditionnellement à Marseille en cette période de Chandeleur on se doit de manger des navettes, et non des crêpes ! Mais avouons-le, la spécialité bretonne est un peu meilleure que le biscuit marseillais. En plus avec les crêpes, des tas de possibilités gustatives s'offrent à notre palais. Alors on la mange où cette crêpe ce soir ?",[],True
91,51,test 6,,[[]],True
92,63,terrasses,il suffit parfois ….,[],True
93,65,terrasses,il suffit parfois ….,[],True
94,12,VHS LOGO,,[[]],True
95,12,VHS LOGO,,[[]],True
96,12,VHS LOGO,,[[]],True
97,12,VHS LOGO,,[[]],True
98,12,VHS LOGO,,[[]],True
99,12,VHS LOGO,,[[]],True
100,12,VHS LOGO,,[[]],True
101,12,VHS LOGO,,[[]],True
102,12,VHS LOGO,,[[]],True
103,12,VHS LOGO,,[[]],True
104,12,VHS LOGO,,[[]],True
105,12,VHS LOGO,,[[]],True
106,12,VHS LOGO,,[[]],True
107,12,VHS LOGO,,[[]],True
108,12,VHS LOGO,,[[#Lourd]],True
109,12,VHS LOGO,,[[#Lourd]],True
110,12,VHS LOGO,,[[#Lourd]],True
111,12,VHS LOGO,,[[#Lourd]],True
112,12,VHS LOGO,,[[#Lourd]],True
113,12,VHS LOGO,,[[#Lourd]],True
114,12,VHS LOGO,,[[#Lourd]],True
115,12,VHS LOGO,,[[#Lourd]],True
116,12,VHS LOGO,,[[#Lourd]],True
117,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
118,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
119,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
120,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
121,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
122,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
123,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
124,12,VHS LOGO,,"[[#TropBien, #Lourd]]",True
125,395,Bats sympas à Angers,"Sans pretention mais de bons produits, une bonne ambiance... ca fait toute la différence!","[[#bar, #Angers]]",True
126,413,Fooding,Le meilleur de Paris dans une assiette ????????????????????????????,"[[#jaifaim, #, #food]]",True
